issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob
TIKA-850,5,0.9976,0.0003,0.0003,0.0003,0.0003,0.0003,0.9976,0.0003,0.0003,0.0003,0.0003
TIKA-815,8,0.9982,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9982,0.0002
TIKA-814,1,0.8838,0.1152,0.8838,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-785,8,0.9978,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9978,0.0002
TIKA-775,4,0.5557,0.0002,0.0002,0.0002,0.0002,0.5557,0.0002,0.0002,0.0002,0.4429,0.0002
TIKA-774,8,0.805,0.0001,0.0001,0.0001,0.1315,0.0001,0.0001,0.0629,0.0001,0.805,0.0001
TIKA-773,7,0.7593,0.0003,0.0003,0.0003,0.0003,0.1098,0.0003,0.0003,0.7593,0.1289,0.0003
TIKA-759,0,0.5246,0.5246,0.0002,0.1137,0.1538,0.1411,0.0002,0.066,0.0002,0.0002,0.0002
TIKA-746,6,0.9988,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001,0.0001,0.0001
TIKA-710,8,0.9967,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9967,0.0004
TIKA-669,8,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002
TIKA-662,5,0.9989,0.0001,0.0001,0.0001,0.0001,0.0001,0.9989,0.0001,0.0001,0.0001,0.0001
TIKA-625,3,0.9554,0.0002,0.0002,0.0002,0.9554,0.0002,0.0002,0.0002,0.0002,0.0428,0.0002
TIKA-605,8,0.9964,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9964,0.0004
TIKA-591,5,0.9985,0.0002,0.0002,0.0002,0.0002,0.0002,0.9985,0.0002,0.0002,0.0002,0.0002
TIKA-590,6,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9979,0.0002,0.0002,0.0002
TIKA-569,8,0.9966,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9966,0.0004
TIKA-550,7,0.6762,0.3209,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.6762,0.0004,0.0004
TIKA-524,8,0.9988,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001
TIKA-504,0,0.999,0.999,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-488,3,0.9985,0.0002,0.0002,0.0002,0.9985,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-483,9,0.9968,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9968
TIKA-482,8,0.9988,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001
TIKA-456,8,0.9994,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9994,0.0001
TIKA-447,5,0.6883,0.0002,0.0002,0.0002,0.0002,0.0002,0.6883,0.0002,0.0002,0.31,0.0002
TIKA-445,0,0.5729,0.5729,0.0003,0.0003,0.0003,0.0003,0.0003,0.2462,0.0003,0.0003,0.1788
TIKA-443,1,0.9971,0.0003,0.9971,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-440,4,0.6472,0.0006,0.3481,0.0006,0.0006,0.6472,0.0006,0.0006,0.0006,0.0006,0.0006
TIKA-416,8,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.998,0.0002
TIKA-420,1,0.9997,0.0,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIKA-383,7,0.5761,0.0004,0.0004,0.0004,0.4207,0.0004,0.0004,0.0004,0.5761,0.0004,0.0004
TIKA-372,0,0.9974,0.9974,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-369,4,0.999,0.0001,0.0001,0.0001,0.0001,0.999,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-322,4,0.9973,0.0003,0.0003,0.0003,0.0003,0.9973,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-342,2,0.9968,0.0004,0.0004,0.9968,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
TIKA-337,8,0.8104,0.0002,0.0002,0.0002,0.0002,0.1882,0.0002,0.0002,0.0002,0.8104,0.0002
TIKA-333,9,0.9978,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9978
TIKA-270,8,0.9823,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.9823,0.002
TIKA-261,2,0.9971,0.0003,0.0003,0.9971,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-238,8,0.9987,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9987,0.0001
TIKA-216,0,0.6258,0.6258,0.0002,0.0002,0.0002,0.0002,0.3729,0.0002,0.0002,0.0002,0.0002
TIKA-99,8,0.7776,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0505,0.0003,0.7776,0.1697
TIKA-203,3,0.9991,0.0001,0.0001,0.0001,0.9991,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-172,9,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996
TIKA-153,5,0.6307,0.0002,0.0002,0.0002,0.0002,0.0002,0.6307,0.3673,0.0002,0.0002,0.0002
TIKA-143,2,0.5751,0.0002,0.0002,0.5751,0.0981,0.0002,0.0002,0.0002,0.0002,0.3253,0.0002
TIKA-139,8,0.9947,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.9947,0.0006
TIKA-137,0,0.9979,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-132,8,0.999,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.999,0.0001
TIKA-126,8,0.9988,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001
TIKA-116,5,0.9986,0.0002,0.0002,0.0002,0.0002,0.0002,0.9986,0.0002,0.0002,0.0002,0.0002
TIKA-105,9,0.9981,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9981
TIKA-95,0,0.9985,0.9985,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-90,8,0.5616,0.0004,0.0004,0.0004,0.0004,0.4354,0.0004,0.0004,0.0004,0.5616,0.0004
TIKA-69,0,0.9953,0.9953,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
TIKA-67,8,0.9987,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9987,0.0001
TIKA-52,5,0.9975,0.0003,0.0003,0.0003,0.0003,0.0003,0.9975,0.0003,0.0003,0.0003,0.0003
TIKA-46,8,0.9901,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.9901,0.0011
TIKA-33,8,0.9966,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9966,0.0004
TIKA-31,8,0.6164,0.0001,0.0001,0.0001,0.0001,0.3825,0.0001,0.0001,0.0001,0.6164,0.0001
TIKA-24,0,0.5053,0.5053,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.4912,0.0004
TIKA-23,8,0.9987,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9987,0.0001
TIKA-6,8,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.998,0.0002
TIKA-1508,8,0.9988,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001
TIKA-2829,6,0.5157,0.0003,0.0003,0.0003,0.0003,0.1215,0.0003,0.5157,0.0003,0.0003,0.3607
TIKA-2911,8,0.9936,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.9936,0.0007
